"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"75",22.7,0.000496644295302013,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.75,NA,NA,16.02
"76",1e+06,0.000496644295302013,"seagrass",239.45,NA,0,0.11,NA,0.11,6.76,NA,0,10121.87,NA,161.75,58.83,NA,61.68
"77",22.7,0.00051006711409396,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.74,NA,NA,16.02
"78",1e+06,0.00051006711409396,"seagrass",227.96,NA,0,0.11,NA,0.11,6.45,NA,0,9663.04,NA,161.74,58.96,NA,61.68
"79",22.7,0.000523489932885906,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.72,NA,NA,16.02
"80",1e+06,0.000523489932885906,"seagrass",216.52,NA,0,0.11,NA,0.11,6.14,NA,0,9204.57,NA,161.72,59.09,NA,61.68
"81",22.7,0.000536912751677852,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.71,NA,NA,16.02
"82",1e+06,0.000536912751677852,"seagrass",205.14,NA,0,0.11,NA,0.11,5.84,NA,0,8746.48,NA,161.71,59.22,NA,61.68
"83",22.7,0.000550335570469799,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.7,NA,NA,16.02
"84",1e+06,0.000550335570469799,"seagrass",193.82,NA,0,0.11,NA,0.11,5.53,NA,0,8288.74,NA,161.7,59.35,NA,61.68
"85",22.7,0.000563758389261745,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.69,NA,NA,16.02
"86",1e+06,0.000563758389261745,"seagrass",182.54,NA,0,0.11,NA,0.11,5.22,NA,0,7831.38,NA,161.69,59.48,NA,61.68
"87",22.7,0.000577181208053691,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.68,NA,NA,16.02
"88",1e+06,0.000577181208053691,"seagrass",171.33,NA,0,0.11,NA,0.11,4.91,NA,0,7374.38,NA,161.68,59.61,NA,61.68
"89",22.7,0.000590604026845638,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.67,NA,NA,16.02
"90",1e+06,0.000590604026845638,"seagrass",160.16,NA,0,0.11,NA,0.11,4.61,NA,0,6917.74,NA,161.67,59.74,NA,61.68
"91",22.7,0.000604026845637584,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.66,NA,NA,16.02
"92",1e+06,0.000604026845637584,"seagrass",149.05,NA,0,0.11,NA,0.11,4.3,NA,0,6461.47,NA,161.66,59.87,NA,61.68
"93",22.7,0.00061744966442953,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.65,NA,NA,16.02
"94",1e+06,0.00061744966442953,"seagrass",137.99,NA,0,0.11,NA,0.11,3.99,NA,0,6005.57,NA,161.65,60,NA,61.68
"95",22.7,0.000630872483221476,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.64,NA,NA,16.02
"96",1e+06,0.000630872483221476,"seagrass",126.98,NA,0,0.11,NA,0.11,3.68,NA,0,5550.03,NA,161.64,60.13,NA,61.68
"97",22.7,0.000644295302013423,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.63,NA,NA,16.02
"98",1e+06,0.000644295302013423,"seagrass",116.03,NA,0,0.11,NA,0.11,3.37,NA,0,5094.86,NA,161.63,60.26,NA,61.68
"99",22.7,0.000657718120805369,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.62,NA,NA,16.02
"100",1e+06,0.000657718120805369,"seagrass",105.12,NA,0,0.11,NA,0.11,3.06,NA,0,4640.06,NA,161.62,60.39,NA,61.68
"101",22.7,0.000671140939597316,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.6,NA,NA,16.02
"102",1e+06,0.000671140939597316,"seagrass",94.27,NA,0,0.11,NA,0.11,2.76,NA,0,4185.62,NA,161.6,60.52,NA,61.68
"103",22.7,0.000684563758389262,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.59,NA,NA,16.02
"104",1e+06,0.000684563758389262,"seagrass",83.47,NA,0,0.11,NA,0.11,2.45,NA,0,3731.55,NA,161.59,60.65,NA,61.68
"105",22.7,0.000697986577181208,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.58,NA,NA,16.02
"106",1e+06,0.000697986577181208,"seagrass",72.72,NA,0,0.11,NA,0.11,2.14,NA,0,3277.85,NA,161.58,60.78,NA,61.68
"107",22.7,0.000711409395973154,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.57,NA,NA,16.02
"108",1e+06,0.000711409395973154,"seagrass",62.02,NA,0,0.11,NA,0.11,1.83,NA,0,2824.51,NA,161.57,60.91,NA,61.68
"109",22.7,0.000724832214765101,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.56,NA,NA,16.02
"110",1e+06,0.000724832214765101,"seagrass",51.37,NA,0,0.11,NA,0.11,1.52,NA,0,2371.54,NA,161.56,61.04,NA,61.68
"111",22.7,0.000738255033557047,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.55,NA,NA,16.02
"112",1e+06,0.000738255033557047,"seagrass",40.77,NA,0,0.11,NA,0.11,1.21,NA,0,1918.94,NA,161.55,61.17,NA,61.68
"113",22.7,0.000751677852348993,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.54,NA,NA,16.02
"114",1e+06,0.000751677852348993,"seagrass",30.22,NA,0,0.11,NA,0.11,0.9,NA,0,1466.71,NA,161.54,61.3,NA,61.68
"115",22.7,0.00076510067114094,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.53,NA,NA,16.02
"116",1e+06,0.00076510067114094,"seagrass",19.72,NA,0,0.11,NA,0.11,0.59,NA,0,1014.84,NA,161.53,61.43,NA,61.68
"117",22.7,0.000778523489932886,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.52,NA,NA,16.02
"118",1e+06,0.000778523489932886,"seagrass",9.27,NA,0,0.11,NA,0.11,0.28,NA,0,563.34,NA,161.52,61.56,NA,61.68
"119",22.7,0.000791946308724832,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.51,NA,NA,16.02
"120",1e+06,0.000791946308724832,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.51,NA,NA,61.68
"121",22.7,0.000805369127516779,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.5,NA,NA,16.02
"122",1e+06,0.000805369127516779,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.5,NA,NA,61.68
"123",22.7,0.000818791946308725,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.49,NA,NA,16.02
"124",1e+06,0.000818791946308725,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.49,NA,NA,61.68
"125",22.7,0.000832214765100671,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.47,NA,NA,16.02
"126",1e+06,0.000832214765100671,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.47,NA,NA,61.68
"127",22.7,0.000845637583892618,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.46,NA,NA,16.02
"128",1e+06,0.000845637583892618,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.46,NA,NA,61.68
"129",22.7,0.000859060402684564,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.45,NA,NA,16.02
"130",1e+06,0.000859060402684564,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.45,NA,NA,61.68
"131",22.7,0.00087248322147651,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.44,NA,NA,16.02
"132",1e+06,0.00087248322147651,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.44,NA,NA,61.68
"133",22.7,0.000885906040268456,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.43,NA,NA,16.02
"134",1e+06,0.000885906040268456,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.43,NA,NA,61.68
"135",22.7,0.000899328859060403,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.42,NA,NA,16.02
"136",1e+06,0.000899328859060403,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.42,NA,NA,61.68
"137",22.7,0.000912751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.41,NA,NA,16.02
"138",1e+06,0.000912751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.41,NA,NA,61.68
"139",22.7,0.000926174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.4,NA,NA,16.02
"140",1e+06,0.000926174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.4,NA,NA,61.68
"141",22.7,0.000939597315436242,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.39,NA,NA,16.02
"142",1e+06,0.000939597315436242,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.39,NA,NA,61.68
"143",22.7,0.000953020134228188,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.38,NA,NA,16.02
"144",1e+06,0.000953020134228188,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.38,NA,NA,61.68
"145",22.7,0.000966442953020134,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.37,NA,NA,16.02
"146",1e+06,0.000966442953020134,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.37,NA,NA,61.68
"147",22.7,0.000979865771812081,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.36,NA,NA,16.02
"148",1e+06,0.000979865771812081,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.36,NA,NA,61.68
"149",22.7,0.000993288590604027,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.34,NA,NA,16.02
"150",1e+06,0.000993288590604027,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.34,NA,NA,61.68
"151",22.7,0.00100671140939597,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.33,NA,NA,16.02
"152",1e+06,0.00100671140939597,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.33,NA,NA,61.68
"153",22.7,0.00102013422818792,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.32,NA,NA,16.02
"154",1e+06,0.00102013422818792,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.32,NA,NA,61.68
"155",22.7,0.00103355704697987,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.31,NA,NA,16.02
"156",1e+06,0.00103355704697987,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.31,NA,NA,61.68
"157",22.7,0.00104697986577181,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.3,NA,NA,16.02
"158",1e+06,0.00104697986577181,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.3,NA,NA,61.68
"159",22.7,0.00106040268456376,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.29,NA,NA,16.02
"160",1e+06,0.00106040268456376,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.29,NA,NA,61.68
"161",22.7,0.0010738255033557,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.28,NA,NA,16.02
"162",1e+06,0.0010738255033557,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.28,NA,NA,61.68
"163",22.7,0.00108724832214765,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.27,NA,NA,16.02
"164",1e+06,0.00108724832214765,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.27,NA,NA,61.68
"165",22.7,0.0011006711409396,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.26,NA,NA,16.02
"166",1e+06,0.0011006711409396,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.26,NA,NA,61.68
"167",22.7,0.00111409395973154,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.25,NA,NA,16.02
"168",1e+06,0.00111409395973154,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.25,NA,NA,61.68
"169",22.7,0.00112751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.24,NA,NA,16.02
"170",1e+06,0.00112751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.24,NA,NA,61.68
"171",22.7,0.00114093959731544,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.23,NA,NA,16.02
"172",1e+06,0.00114093959731544,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.23,NA,NA,61.68
"173",22.7,0.00115436241610738,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.21,NA,NA,16.02
"174",1e+06,0.00115436241610738,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.21,NA,NA,61.68
"175",22.7,0.00116778523489933,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.2,NA,NA,16.02
"176",1e+06,0.00116778523489933,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.2,NA,NA,61.68
"177",22.7,0.00118120805369128,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.19,NA,NA,16.02
"178",1e+06,0.00118120805369128,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.19,NA,NA,61.68
"179",22.7,0.00119463087248322,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.18,NA,NA,16.02
"180",1e+06,0.00119463087248322,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.18,NA,NA,61.68
"181",22.7,0.00120805369127517,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.17,NA,NA,16.02
"182",1e+06,0.00120805369127517,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.17,NA,NA,61.68
"183",22.7,0.00122147651006711,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.16,NA,NA,16.02
"184",1e+06,0.00122147651006711,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.16,NA,NA,61.68
"185",22.7,0.00123489932885906,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.15,NA,NA,16.02
"186",1e+06,0.00123489932885906,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.15,NA,NA,61.68
"187",22.7,0.00124832214765101,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.14,NA,NA,16.02
"188",1e+06,0.00124832214765101,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.14,NA,NA,61.68
"189",22.7,0.00126174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.13,NA,NA,16.02
"190",1e+06,0.00126174496644295,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.13,NA,NA,61.68
"191",22.7,0.0012751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.12,NA,NA,16.02
"192",1e+06,0.0012751677852349,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.12,NA,NA,61.68
"193",22.7,0.00128859060402685,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.11,NA,NA,16.02
