"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"125",22.7,300.992953020134,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,132.28,NA,NA,16.02
"126",1e+06,300.992953020134,"seagrass",487.88,NA,0,0.11,NA,0.11,12.52,NA,0,15984.46,NA,132.28,56.37,NA,61.68
"127",22.7,301.027516778523,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,131.85,NA,NA,16.02
"128",1e+06,301.027516778523,"seagrass",479.81,NA,0,0.11,NA,0.11,12.31,NA,0,15678.84,NA,131.85,56.46,NA,61.68
"129",22.7,301.062080536913,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,131.41,NA,NA,16.02
"130",1e+06,301.062080536913,"seagrass",471.54,NA,0,0.11,NA,0.11,12.1,NA,0,15368.73,NA,131.41,56.55,NA,61.68
"131",22.7,301.096644295302,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,130.98,NA,NA,16.02
"132",1e+06,301.096644295302,"seagrass",463.09,NA,0,0.11,NA,0.11,11.89,NA,0,15054.1,NA,130.98,56.64,NA,61.68
"133",22.7,301.131208053691,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,130.55,NA,NA,16.02
"134",1e+06,301.131208053691,"seagrass",454.44,NA,0,0.11,NA,0.11,11.67,NA,0,14734.9,NA,130.55,56.73,NA,61.68
"135",22.7,301.165771812081,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,130.12,NA,NA,16.02
"136",1e+06,301.165771812081,"seagrass",445.6,NA,0,0.11,NA,0.11,11.45,NA,0,14411.08,NA,130.12,56.83,NA,61.68
"137",22.7,301.20033557047,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,129.69,NA,NA,16.02
"138",1e+06,301.20033557047,"seagrass",436.57,NA,0,0.11,NA,0.11,11.22,NA,0,14082.59,NA,129.69,56.93,NA,61.68
"139",22.7,301.234899328859,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,129.26,NA,NA,16.02
"140",1e+06,301.234899328859,"seagrass",427.33,NA,0,0.11,NA,0.11,10.99,NA,0,13749.4,NA,129.26,57.03,NA,61.68
"141",22.7,301.269463087248,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,128.84,NA,NA,16.02
"142",1e+06,301.269463087248,"seagrass",417.89,NA,0,0.11,NA,0.11,10.75,NA,0,13411.44,NA,128.84,57.13,NA,61.68
"143",22.7,301.304026845638,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,128.41,NA,NA,16.02
"144",1e+06,301.304026845638,"seagrass",408.24,NA,0,0.11,NA,0.11,10.51,NA,0,13068.68,NA,128.41,57.23,NA,61.68
"145",22.7,301.338590604027,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,127.99,NA,NA,16.02
"146",1e+06,301.338590604027,"seagrass",398.39,NA,0,0.11,NA,0.11,10.26,NA,0,12721.04,NA,127.99,57.34,NA,61.68
"147",22.7,301.373154362416,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,127.57,NA,NA,16.02
"148",1e+06,301.373154362416,"seagrass",388.32,NA,0,0.11,NA,0.11,10,NA,0,12368.49,NA,127.57,57.45,NA,61.68
"149",22.7,301.407718120805,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,127.14,NA,NA,16.02
"150",1e+06,301.407718120805,"seagrass",378.03,NA,0,0.11,NA,0.11,9.74,NA,0,12010.97,NA,127.14,57.56,NA,61.68
"151",22.7,301.442281879195,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,126.72,NA,NA,16.02
"152",1e+06,301.442281879195,"seagrass",367.52,NA,0,0.11,NA,0.11,9.48,NA,0,11648.41,NA,126.72,57.67,NA,61.68
"153",22.7,301.476845637584,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,126.31,NA,NA,16.02
"154",1e+06,301.476845637584,"seagrass",356.79,NA,0,0.11,NA,0.11,9.2,NA,0,11280.77,NA,126.31,57.79,NA,61.68
"155",22.7,301.511409395973,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,125.89,NA,NA,16.02
"156",1e+06,301.511409395973,"seagrass",345.84,NA,0,0.11,NA,0.11,8.93,NA,0,10907.97,NA,125.89,57.91,NA,61.68
"157",22.7,301.545973154362,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,125.47,NA,NA,16.02
"158",1e+06,301.545973154362,"seagrass",334.65,NA,0,0.1,NA,0.11,8.64,NA,0,10529.97,NA,125.47,58.03,NA,61.68
"159",22.7,301.580536912752,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,125.06,NA,NA,16.02
"160",1e+06,301.580536912752,"seagrass",323.23,NA,0,0.1,NA,0.11,8.35,NA,0,10146.69,NA,125.06,58.15,NA,61.68
"161",22.7,301.615100671141,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,124.65,NA,NA,16.02
"162",1e+06,301.615100671141,"seagrass",311.57,NA,0,0.1,NA,0.11,8.05,NA,0,9758.07,NA,124.65,58.28,NA,61.68
"163",22.7,301.64966442953,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,124.23,NA,NA,16.02
"164",1e+06,301.64966442953,"seagrass",299.67,NA,0,0.1,NA,0.11,7.75,NA,0,9364.04,NA,124.23,58.41,NA,61.68
"165",22.7,301.684228187919,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,123.82,NA,NA,16.02
"166",1e+06,301.684228187919,"seagrass",287.52,NA,0,0.1,NA,0.11,7.44,NA,0,8964.54,NA,123.82,58.54,NA,61.68
"167",22.7,301.718791946309,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,123.41,NA,NA,16.02
"168",1e+06,301.718791946309,"seagrass",275.13,NA,0,0.1,NA,0.11,7.12,NA,0,8559.49,NA,123.41,58.67,NA,61.68
"169",22.7,301.753355704698,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,123.01,NA,NA,16.02
"170",1e+06,301.753355704698,"seagrass",262.48,NA,0,0.1,NA,0.11,6.8,NA,0,8148.82,NA,123.01,58.81,NA,61.68
"171",22.7,301.787919463087,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,122.6,NA,NA,16.02
"172",1e+06,301.787919463087,"seagrass",249.57,NA,0,0.1,NA,0.11,6.47,NA,0,7732.46,NA,122.6,58.95,NA,61.68
"173",22.7,301.822483221477,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,122.19,NA,NA,16.02
"174",1e+06,301.822483221477,"seagrass",236.39,NA,0,0.1,NA,0.11,6.13,NA,0,7310.33,NA,122.19,59.1,NA,61.68
"175",22.7,301.857046979866,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,121.79,NA,NA,16.02
"176",1e+06,301.857046979866,"seagrass",222.95,NA,0,0.1,NA,0.11,5.78,NA,0,6882.35,NA,121.79,59.24,NA,61.68
"177",22.7,301.891610738255,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,121.39,NA,NA,16.02
"178",1e+06,301.891610738255,"seagrass",209.24,NA,0,0.1,NA,0.11,5.43,NA,0,6448.44,NA,121.39,59.39,NA,61.68
"179",22.7,301.926174496644,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,120.99,NA,NA,16.02
"180",1e+06,301.926174496644,"seagrass",195.25,NA,0,0.1,NA,0.11,5.07,NA,0,6008.52,NA,120.99,59.54,NA,61.68
"181",22.7,301.960738255034,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,120.59,NA,NA,16.02
"182",1e+06,301.960738255034,"seagrass",180.97,NA,0,0.1,NA,0.11,4.7,NA,0,5562.5,NA,120.59,59.7,NA,61.68
"183",22.7,301.995302013423,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,120.19,NA,NA,16.02
"184",1e+06,301.995302013423,"seagrass",166.41,NA,0,0.1,NA,0.11,4.33,NA,0,5110.3,NA,120.19,59.86,NA,61.68
"185",22.7,302.029865771812,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,119.79,NA,NA,16.02
"186",1e+06,302.029865771812,"seagrass",151.56,NA,0,0.1,NA,0.11,3.94,NA,0,4651.82,NA,119.79,60.02,NA,61.68
"187",22.7,302.064429530201,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,119.39,NA,NA,16.02
