"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"65",6000,0.000402684563758389,"seagrass",119.38,NA,0,0.17,NA,0.16,2.47,NA,0,3850.97,NA,239.5,0.05,NA,1.15
"66",10000,0.000402684563758389,"seagrass",118.48,NA,0,0.17,NA,0.16,2.46,NA,0,3837.05,NA,239.5,0.05,NA,1.15
"67",22.7,0.000442953020134228,"seagrass",409.44,NA,0,0.79,NA,0.16,3.6,NA,0,6438.63,NA,239.46,0.01,NA,1.15
"68",100,0.000442953020134228,"seagrass",263.36,NA,0,0.43,NA,0.16,3.14,NA,0,5236.16,NA,239.46,0.01,NA,1.15
"69",500,0.000442953020134228,"seagrass",142.04,NA,0,0.2,NA,0.16,2.61,NA,0,4108.66,NA,239.46,0.03,NA,1.15
"70",1000,0.000442953020134228,"seagrass",127.6,NA,0,0.18,NA,0.16,2.5,NA,0,3923.58,NA,239.46,0.04,NA,1.15
"71",6000,0.000442953020134228,"seagrass",116.5,NA,0,0.17,NA,0.16,2.41,NA,0,3763.74,NA,239.46,0.05,NA,1.15
"72",10000,0.000442953020134228,"seagrass",115.65,NA,0,0.17,NA,0.16,2.4,NA,0,3750.67,NA,239.46,0.05,NA,1.15
"73",22.7,0.000483221476510067,"seagrass",387.16,NA,0,0.78,NA,0.16,3.42,NA,0,6161.65,NA,239.41,0.01,NA,1.15
"74",100,0.000483221476510067,"seagrass",248.82,NA,0,0.42,NA,0.16,3.01,NA,0,5022.73,NA,239.41,0.01,NA,1.15
"75",500,0.000483221476510067,"seagrass",137.63,NA,0,0.2,NA,0.16,2.53,NA,0,4000.32,NA,239.41,0.03,NA,1.15
"76",1000,0.000483221476510067,"seagrass",124.17,NA,0,0.18,NA,0.16,2.44,NA,0,3829.48,NA,239.41,0.04,NA,1.15
"77",6000,0.000483221476510067,"seagrass",113.73,NA,0,0.17,NA,0.16,2.35,NA,0,3680.01,NA,239.41,0.05,NA,1.15
"78",10000,0.000483221476510067,"seagrass",112.92,NA,0,0.17,NA,0.16,2.35,NA,0,3667.69,NA,239.41,0.05,NA,1.15
"79",22.7,0.000523489932885906,"seagrass",367.03,NA,0,0.78,NA,0.16,3.26,NA,0,5910.29,NA,239.36,0.01,NA,1.15
"80",100,0.000523489932885906,"seagrass",235.78,NA,0,0.41,NA,0.16,2.89,NA,0,4829.17,NA,239.36,0.01,NA,1.15
"81",500,0.000523489932885906,"seagrass",133.48,NA,0,0.2,NA,0.16,2.47,NA,0,3898.13,NA,239.36,0.03,NA,1.15
"82",1000,0.000523489932885906,"seagrass",120.92,NA,0,0.18,NA,0.16,2.38,NA,0,3739.8,NA,239.36,0.04,NA,1.15
"83",6000,0.000523489932885906,"seagrass",111.07,NA,0,0.17,NA,0.16,2.3,NA,0,3599.51,NA,239.36,0.05,NA,1.15
"84",10000,0.000523489932885906,"seagrass",110.31,NA,0,0.17,NA,0.16,2.29,NA,0,3587.86,NA,239.36,0.05,NA,1.15
"85",22.7,0.000563758389261745,"seagrass",348.76,NA,0,0.77,NA,0.16,3.11,NA,0,5681.07,NA,239.31,0.01,NA,1.15
"86",100,0.000563758389261745,"seagrass",224.05,NA,0,0.4,NA,0.16,2.78,NA,0,4652.72,NA,239.31,0.01,NA,1.15
"87",500,0.000563758389261745,"seagrass",129.59,NA,0,0.2,NA,0.16,2.4,NA,0,3801.48,NA,239.31,0.04,NA,1.15
"88",1000,0.000563758389261745,"seagrass",117.82,NA,0,0.18,NA,0.16,2.32,NA,0,3654.17,NA,239.31,0.04,NA,1.15
"89",6000,0.000563758389261745,"seagrass",108.51,NA,0,0.17,NA,0.16,2.25,NA,0,3521.99,NA,239.31,0.06,NA,1.15
"90",10000,0.000563758389261745,"seagrass",107.78,NA,0,0.17,NA,0.16,2.24,NA,0,3510.94,NA,239.31,0.06,NA,1.15
"91",22.7,0.000604026845637584,"seagrass",332.1,NA,0,0.76,NA,0.16,2.98,NA,0,5471.12,NA,239.26,0.01,NA,1.15
"92",100,0.000604026845637584,"seagrass",213.42,NA,0,0.4,NA,0.16,2.68,NA,0,4491.11,NA,239.26,0.01,NA,1.15
"93",500,0.000604026845637584,"seagrass",125.91,NA,0,0.2,NA,0.16,2.34,NA,0,3709.86,NA,239.26,0.04,NA,1.15
"94",1000,0.000604026845637584,"seagrass",114.86,NA,0,0.18,NA,0.16,2.27,NA,0,3572.27,NA,239.26,0.05,NA,1.15
"95",6000,0.000604026845637584,"seagrass",106.04,NA,0,0.17,NA,0.16,2.2,NA,0,3447.24,NA,239.26,0.06,NA,1.15
"96",10000,0.000604026845637584,"seagrass",105.35,NA,0,0.17,NA,0.16,2.19,NA,0,3436.71,NA,239.26,0.06,NA,1.15
"97",22.7,0.000644295302013423,"seagrass",316.85,NA,0,0.75,NA,0.16,2.86,NA,0,5278.05,NA,239.21,0.01,NA,1.15
"98",100,0.000644295302013423,"seagrass",203.76,NA,0,0.39,NA,0.16,2.58,NA,0,4342.45,NA,239.21,0.01,NA,1.15
"99",500,0.000644295302013423,"seagrass",122.44,NA,0,0.2,NA,0.16,2.28,NA,0,3622.8,NA,239.21,0.04,NA,1.15
"100",1000,0.000644295302013423,"seagrass",112.03,NA,0,0.18,NA,0.16,2.21,NA,0,3493.78,NA,239.21,0.05,NA,1.15
"101",6000,0.000644295302013423,"seagrass",103.65,NA,0,0.17,NA,0.16,2.15,NA,0,3375.03,NA,239.21,0.06,NA,1.15
"102",10000,0.000644295302013423,"seagrass",102.99,NA,0,0.17,NA,0.16,2.14,NA,0,3364.95,NA,239.21,0.06,NA,1.15
"103",22.7,0.000684563758389262,"seagrass",302.85,NA,0,0.75,NA,0.16,2.74,NA,0,5099.86,NA,239.17,0.01,NA,1.15
"104",100,0.000684563758389262,"seagrass",194.94,NA,0,0.38,NA,0.16,2.5,NA,0,4205.17,NA,239.17,0.02,NA,1.15
"105",500,0.000684563758389262,"seagrass",119.15,NA,0,0.2,NA,0.16,2.23,NA,0,3539.9,NA,239.17,0.04,NA,1.15
"106",1000,0.000684563758389262,"seagrass",109.33,NA,0,0.18,NA,0.16,2.16,NA,0,3418.42,NA,239.17,0.05,NA,1.15
"107",6000,0.000684563758389262,"seagrass",101.35,NA,0,0.17,NA,0.16,2.1,NA,0,3305.16,NA,239.17,0.06,NA,1.15
"108",10000,0.000684563758389262,"seagrass",100.72,NA,0,0.17,NA,0.16,2.09,NA,0,3295.48,NA,239.17,0.07,NA,1.15
"109",22.7,0.000724832214765101,"seagrass",289.94,NA,0,0.74,NA,0.16,2.64,NA,0,4934.84,NA,239.12,0.01,NA,1.15
"110",100,0.000724832214765101,"seagrass",186.85,NA,0,0.37,NA,0.16,2.42,NA,0,4077.93,NA,239.12,0.02,NA,1.15
"111",500,0.000724832214765101,"seagrass",116.03,NA,0,0.2,NA,0.16,2.18,NA,0,3460.8,NA,239.12,0.04,NA,1.15
"112",1000,0.000724832214765101,"seagrass",106.73,NA,0,0.18,NA,0.16,2.11,NA,0,3345.95,NA,239.12,0.05,NA,1.15
