"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"70",1000,299.536577181208,"seagrass",183.48,NA,0,0.19,NA,0.16,3.5,NA,0,5134.18,NA,224.75,0.03,NA,1.15
"71",6000,299.536577181208,"seagrass",157.3,NA,0,0.17,NA,0.16,3.24,NA,0,4729.75,NA,224.75,0.03,NA,1.15
"72",10000,299.536577181208,"seagrass",155.47,NA,0,0.16,NA,0.16,3.22,NA,0,4699.96,NA,224.75,0.03,NA,1.15
"73",22.7,299.598993288591,"seagrass",1026.77,NA,0,0.87,NA,0.16,8.47,NA,0,13090.37,NA,223.41,0,NA,1.15
"74",100,299.598993288591,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,10461.62,NA,223.41,0.01,NA,1.15
"75",500,299.598993288591,"seagrass",225.08,NA,0,0.22,NA,0.16,3.88,NA,0,5684.86,NA,223.41,0.02,NA,1.15
"76",1000,299.598993288591,"seagrass",183.48,NA,0,0.19,NA,0.16,3.5,NA,0,5108.83,NA,223.41,0.03,NA,1.15
"77",6000,299.598993288591,"seagrass",157.29,NA,0,0.17,NA,0.16,3.24,NA,0,4706.29,NA,223.41,0.03,NA,1.15
"78",10000,299.598993288591,"seagrass",155.46,NA,0,0.16,NA,0.16,3.22,NA,0,4676.64,NA,223.41,0.03,NA,1.15
"79",22.7,299.661409395973,"seagrass",1026.77,NA,0,0.87,NA,0.16,8.47,NA,0,13025.32,NA,222.08,0,NA,1.15
"80",100,299.661409395973,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,10409.84,NA,222.08,0.01,NA,1.15
"81",500,299.661409395973,"seagrass",225.07,NA,0,0.22,NA,0.16,3.88,NA,0,5656.85,NA,222.08,0.02,NA,1.15
"82",1000,299.661409395973,"seagrass",183.47,NA,0,0.19,NA,0.16,3.5,NA,0,5083.59,NA,222.08,0.03,NA,1.15
"83",6000,299.661409395973,"seagrass",157.28,NA,0,0.17,NA,0.16,3.24,NA,0,4682.93,NA,222.08,0.03,NA,1.15
"84",10000,299.661409395973,"seagrass",155.45,NA,0,0.16,NA,0.16,3.22,NA,0,4653.41,NA,222.08,0.03,NA,1.15
"85",22.7,299.723825503356,"seagrass",1026.77,NA,0,0.87,NA,0.16,8.47,NA,0,12960.61,NA,220.75,0,NA,1.15
"86",100,299.723825503356,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,10358.33,NA,220.75,0.01,NA,1.15
"87",500,299.723825503356,"seagrass",225.07,NA,0,0.22,NA,0.16,3.88,NA,0,5628.97,NA,220.75,0.02,NA,1.15
"88",1000,299.723825503356,"seagrass",183.46,NA,0,0.19,NA,0.16,3.5,NA,0,5058.45,NA,220.75,0.03,NA,1.15
"89",6000,299.723825503356,"seagrass",157.27,NA,0,0.17,NA,0.16,3.23,NA,0,4659.66,NA,220.75,0.03,NA,1.15
"90",10000,299.723825503356,"seagrass",155.44,NA,0,0.16,NA,0.16,3.22,NA,0,4630.27,NA,220.75,0.04,NA,1.15
"91",22.7,299.786241610738,"seagrass",1026.77,NA,0,0.87,NA,0.16,8.47,NA,0,12896.24,NA,219.44,0,NA,1.15
"92",100,299.786241610738,"seagrass",705.47,NA,0,0.61,NA,0.16,6.88,NA,0,10307.08,NA,219.44,0.01,NA,1.15
"93",500,299.786241610738,"seagrass",225.06,NA,0,0.22,NA,0.16,3.88,NA,0,5601.22,NA,219.44,0.02,NA,1.15
"94",1000,299.786241610738,"seagrass",183.45,NA,0,0.19,NA,0.16,3.5,NA,0,5033.43,NA,219.44,0.03,NA,1.15
"95",6000,299.786241610738,"seagrass",157.26,NA,0,0.17,NA,0.16,3.23,NA,0,4636.47,NA,219.44,0.03,NA,1.15
"96",10000,299.786241610738,"seagrass",155.43,NA,0,0.16,NA,0.16,3.21,NA,0,4607.22,NA,219.44,0.04,NA,1.15
"97",22.7,299.848657718121,"seagrass",1026.76,NA,0,0.87,NA,0.16,8.47,NA,0,12832.21,NA,218.13,0,NA,1.15
"98",100,299.848657718121,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10256.1,NA,218.13,0.01,NA,1.15
"99",500,299.848657718121,"seagrass",225.06,NA,0,0.22,NA,0.16,3.88,NA,0,5573.6,NA,218.13,0.02,NA,1.15
"100",1000,299.848657718121,"seagrass",183.44,NA,0,0.19,NA,0.16,3.5,NA,0,5008.51,NA,218.13,0.03,NA,1.15
"101",6000,299.848657718121,"seagrass",157.24,NA,0,0.16,NA,0.16,3.23,NA,0,4613.37,NA,218.13,0.03,NA,1.15
"102",10000,299.848657718121,"seagrass",155.41,NA,0,0.16,NA,0.16,3.21,NA,0,4584.25,NA,218.13,0.04,NA,1.15
"103",22.7,299.911073825503,"seagrass",1026.76,NA,0,0.87,NA,0.16,8.47,NA,0,12768.51,NA,216.83,0,NA,1.15
"104",100,299.911073825503,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10205.38,NA,216.83,0.01,NA,1.15
"105",500,299.911073825503,"seagrass",225.05,NA,0,0.22,NA,0.16,3.88,NA,0,5546.1,NA,216.83,0.02,NA,1.15
"106",1000,299.911073825503,"seagrass",183.43,NA,0,0.19,NA,0.16,3.5,NA,0,4983.7,NA,216.83,0.03,NA,1.15
"107",6000,299.911073825503,"seagrass",157.23,NA,0,0.16,NA,0.16,3.23,NA,0,4590.36,NA,216.83,0.03,NA,1.15
"108",10000,299.911073825503,"seagrass",155.4,NA,0,0.16,NA,0.16,3.21,NA,0,4561.37,NA,216.83,0.04,NA,1.15
"109",22.7,299.973489932886,"seagrass",1026.76,NA,0,0.87,NA,0.16,8.47,NA,0,12705.15,NA,215.53,0,NA,1.15
"110",100,299.973489932886,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10154.93,NA,215.53,0.01,NA,1.15
"111",500,299.973489932886,"seagrass",225.04,NA,0,0.22,NA,0.16,3.88,NA,0,5518.73,NA,215.53,0.02,NA,1.15
"112",1000,299.973489932886,"seagrass",183.42,NA,0,0.19,NA,0.16,3.5,NA,0,4958.99,NA,215.53,0.03,NA,1.15
"113",6000,299.973489932886,"seagrass",157.21,NA,0,0.16,NA,0.16,3.23,NA,0,4567.44,NA,215.53,0.03,NA,1.15
"114",10000,299.973489932886,"seagrass",155.38,NA,0,0.16,NA,0.16,3.21,NA,0,4538.57,NA,215.53,0.04,NA,1.15
"115",22.7,300.035906040268,"seagrass",1026.76,NA,0,0.86,NA,0.16,8.47,NA,0,12642.12,NA,214.25,0,NA,1.15
"116",100,300.035906040268,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10104.74,NA,214.25,0.01,NA,1.15
"117",500,300.035906040268,"seagrass",225.03,NA,0,0.22,NA,0.16,3.88,NA,0,5491.49,NA,214.25,0.02,NA,1.15
"118",1000,300.035906040268,"seagrass",183.41,NA,0,0.19,NA,0.16,3.5,NA,0,4934.39,NA,214.25,0.03,NA,1.15
"119",6000,300.035906040268,"seagrass",157.19,NA,0,0.16,NA,0.16,3.23,NA,0,4544.59,NA,214.25,0.03,NA,1.15
"120",10000,300.035906040268,"seagrass",155.36,NA,0,0.16,NA,0.16,3.21,NA,0,4515.85,NA,214.25,0.04,NA,1.15
"121",22.7,300.098322147651,"seagrass",1026.75,NA,0,0.86,NA,0.16,8.47,NA,0,12579.43,NA,212.97,0,NA,1.15
"122",100,300.098322147651,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10054.81,NA,212.97,0.01,NA,1.15
"123",500,300.098322147651,"seagrass",225.02,NA,0,0.22,NA,0.16,3.88,NA,0,5464.37,NA,212.97,0.02,NA,1.15
"124",1000,300.098322147651,"seagrass",183.39,NA,0,0.19,NA,0.16,3.5,NA,0,4909.89,NA,212.97,0.03,NA,1.15
"125",6000,300.098322147651,"seagrass",157.17,NA,0,0.16,NA,0.16,3.23,NA,0,4521.83,NA,212.97,0.04,NA,1.15
"126",10000,300.098322147651,"seagrass",155.34,NA,0,0.16,NA,0.16,3.21,NA,0,4493.21,NA,212.97,0.04,NA,1.15
"127",22.7,300.160738255034,"seagrass",1026.75,NA,0,0.86,NA,0.16,8.47,NA,0,12517.06,NA,211.7,0,NA,1.15
"128",100,300.160738255034,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,10005.13,NA,211.7,0.01,NA,1.15
"129",500,300.160738255034,"seagrass",225.01,NA,0,0.22,NA,0.16,3.88,NA,0,5437.37,NA,211.7,0.02,NA,1.15
"130",1000,300.160738255034,"seagrass",183.38,NA,0,0.19,NA,0.16,3.5,NA,0,4885.49,NA,211.7,0.03,NA,1.15
"131",6000,300.160738255034,"seagrass",157.15,NA,0,0.16,NA,0.16,3.23,NA,0,4499.15,NA,211.7,0.04,NA,1.15
"132",10000,300.160738255034,"seagrass",155.32,NA,0,0.16,NA,0.16,3.21,NA,0,4470.65,NA,211.7,0.04,NA,1.15
"133",22.7,300.223154362416,"seagrass",1026.74,NA,0,0.86,NA,0.16,8.47,NA,0,12455.01,NA,210.43,0,NA,1.15
"134",100,300.223154362416,"seagrass",705.48,NA,0,0.61,NA,0.16,6.88,NA,0,9955.72,NA,210.43,0.01,NA,1.15
"135",500,300.223154362416,"seagrass",225,NA,0,0.22,NA,0.16,3.88,NA,0,5410.5,NA,210.43,0.02,NA,1.15
