"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"81",500,0.674496644295302,"seagrass",243.93,NA,0,0.31,NA,0.22,4.15,NA,0,6559.73,NA,323.76,0.02,NA,1.2
"82",1000,0.674496644295302,"seagrass",193.28,NA,0,0.26,NA,0.22,3.67,NA,0,5773.12,NA,323.76,0.04,NA,1.2
"83",6000,0.674496644295302,"seagrass",162.4,NA,0,0.23,NA,0.22,3.34,NA,0,5231.69,NA,323.76,0.05,NA,1.2
"84",10000,0.674496644295302,"seagrass",160.25,NA,0,0.22,NA,0.22,3.31,NA,0,5191.47,NA,323.76,0.05,NA,1.2
"85",22.7,0.687919463087248,"seagrass",1219.96,NA,0,1.23,NA,0.23,9.97,NA,0,16698.86,NA,330.2,0.01,NA,1.21
"86",100,0.687919463087248,"seagrass",860.44,NA,0,0.91,NA,0.23,8.12,NA,0,13408.18,NA,330.2,0.01,NA,1.21
"87",500,0.687919463087248,"seagrass",245.4,NA,0,0.32,NA,0.23,4.17,NA,0,6600.77,NA,330.2,0.02,NA,1.21
"88",1000,0.687919463087248,"seagrass",193.97,NA,0,0.26,NA,0.23,3.68,NA,0,5798.64,NA,330.2,0.04,NA,1.21
"89",6000,0.687919463087248,"seagrass",162.65,NA,0,0.23,NA,0.23,3.34,NA,0,5245.95,NA,330.2,0.05,NA,1.21
"90",10000,0.687919463087248,"seagrass",160.48,NA,0,0.23,NA,0.23,3.32,NA,0,5204.77,NA,330.2,0.06,NA,1.21
"91",22.7,0.701342281879195,"seagrass",1233.85,NA,0,1.26,NA,0.23,10.08,NA,0,16900.22,NA,336.64,0.01,NA,1.21
"92",100,0.701342281879195,"seagrass",871.99,NA,0,0.93,NA,0.23,8.22,NA,0,13579.07,NA,336.64,0.01,NA,1.21
"93",500,0.701342281879195,"seagrass",246.88,NA,0,0.33,NA,0.23,4.19,NA,0,6641.83,NA,336.64,0.03,NA,1.21
"94",1000,0.701342281879195,"seagrass",194.65,NA,0,0.27,NA,0.23,3.7,NA,0,5823.79,NA,336.64,0.04,NA,1.21
"95",6000,0.701342281879195,"seagrass",162.88,NA,0,0.24,NA,0.23,3.35,NA,0,5259.23,NA,336.64,0.06,NA,1.21
"96",10000,0.701342281879195,"seagrass",160.66,NA,0,0.23,NA,0.23,3.32,NA,0,5217,NA,336.64,0.06,NA,1.21
"97",22.7,0.714765100671141,"seagrass",1247.75,NA,0,1.28,NA,0.24,10.18,NA,0,17101.72,NA,343.09,0.01,NA,1.22
"98",100,0.714765100671141,"seagrass",883.59,NA,0,0.95,NA,0.24,8.31,NA,0,13750.69,NA,343.09,0.01,NA,1.22
"99",500,0.714765100671141,"seagrass",248.36,NA,0,0.33,NA,0.24,4.21,NA,0,6682.9,NA,343.09,0.03,NA,1.22
"100",1000,0.714765100671141,"seagrass",195.32,NA,0,0.27,NA,0.24,3.71,NA,0,5848.53,NA,343.09,0.04,NA,1.22
"101",6000,0.714765100671141,"seagrass",163.06,NA,0,0.24,NA,0.24,3.35,NA,0,5271.38,NA,343.09,0.06,NA,1.22
"102",10000,0.714765100671141,"seagrass",160.81,NA,0,0.24,NA,0.24,3.32,NA,0,5228.01,NA,343.09,0.06,NA,1.22
"103",22.7,0.728187919463087,"seagrass",1261.66,NA,0,1.31,NA,0.24,10.29,NA,0,17303.37,NA,349.53,0.01,NA,1.22
"104",100,0.728187919463087,"seagrass",895.25,NA,0,0.97,NA,0.24,8.4,NA,0,13923.04,NA,349.53,0.01,NA,1.22
"105",500,0.728187919463087,"seagrass",249.84,NA,0,0.34,NA,0.24,4.23,NA,0,6723.95,NA,349.53,0.03,NA,1.22
"106",1000,0.728187919463087,"seagrass",195.96,NA,0,0.28,NA,0.24,3.72,NA,0,5872.79,NA,349.53,0.04,NA,1.22
"107",6000,0.728187919463087,"seagrass",163.2,NA,0,0.24,NA,0.24,3.35,NA,0,5282.23,NA,349.53,0.06,NA,1.22
"108",10000,0.728187919463087,"seagrass",160.91,NA,0,0.24,NA,0.24,3.33,NA,0,5237.61,NA,349.53,0.07,NA,1.22
"109",22.7,0.741610738255034,"seagrass",1275.58,NA,0,1.33,NA,0.24,10.4,NA,0,17505.15,NA,355.98,0.01,NA,1.22
"110",100,0.741610738255034,"seagrass",906.96,NA,0,0.99,NA,0.24,8.49,NA,0,14096.1,NA,355.98,0.01,NA,1.22
"111",500,0.741610738255034,"seagrass",251.32,NA,0,0.35,NA,0.24,4.25,NA,0,6764.97,NA,355.98,0.03,NA,1.22
"112",1000,0.741610738255034,"seagrass",196.59,NA,0,0.29,NA,0.24,3.73,NA,0,5896.54,NA,355.98,0.04,NA,1.22
"113",6000,0.741610738255034,"seagrass",163.29,NA,0,0.25,NA,0.24,3.36,NA,0,5291.55,NA,355.98,0.07,NA,1.22
"114",10000,0.741610738255034,"seagrass",160.96,NA,0,0.25,NA,0.24,3.33,NA,0,5245.53,NA,355.98,0.07,NA,1.22
"115",22.7,0.75503355704698,"seagrass",1289.5,NA,0,1.36,NA,0.25,10.5,NA,0,17707.06,NA,362.42,0.01,NA,1.23
"116",100,0.75503355704698,"seagrass",918.72,NA,0,1.02,NA,0.25,8.59,NA,0,14269.85,NA,362.42,0.01,NA,1.23
"117",500,0.75503355704698,"seagrass",252.8,NA,0,0.35,NA,0.25,4.28,NA,0,6805.96,NA,362.42,0.03,NA,1.23
"118",1000,0.75503355704698,"seagrass",197.19,NA,0,0.29,NA,0.25,3.74,NA,0,5919.69,NA,362.42,0.04,NA,1.23
"119",6000,0.75503355704698,"seagrass",163.33,NA,0,0.25,NA,0.25,3.36,NA,0,5299.09,NA,362.42,0.07,NA,1.23
"120",10000,0.75503355704698,"seagrass",160.94,NA,0,0.25,NA,0.25,3.33,NA,0,5251.5,NA,362.42,0.07,NA,1.23
"121",22.7,0.768456375838926,"seagrass",1303.43,NA,0,1.38,NA,0.25,10.61,NA,0,17909.09,NA,368.86,0.01,NA,1.23
"122",100,0.768456375838926,"seagrass",930.53,NA,0,1.04,NA,0.25,8.68,NA,0,14444.27,NA,368.86,0.01,NA,1.23
"123",500,0.768456375838926,"seagrass",254.28,NA,0,0.36,NA,0.25,4.3,NA,0,6846.88,NA,368.86,0.03,NA,1.23
"124",1000,0.768456375838926,"seagrass",197.76,NA,0,0.3,NA,0.25,3.75,NA,0,5942.16,NA,368.86,0.05,NA,1.23
"125",6000,0.768456375838926,"seagrass",163.29,NA,0,0.26,NA,0.25,3.36,NA,0,5304.52,NA,368.86,0.08,NA,1.23
"126",10000,0.768456375838926,"seagrass",160.84,NA,0,0.26,NA,0.25,3.33,NA,0,5255.12,NA,368.86,0.08,NA,1.23
"127",22.7,0.781879194630873,"seagrass",1317.38,NA,0,1.41,NA,0.26,10.72,NA,0,18111.25,NA,375.31,0.01,NA,1.24
"128",100,0.781879194630873,"seagrass",942.39,NA,0,1.06,NA,0.26,8.77,NA,0,14619.34,NA,375.31,0.01,NA,1.24
"129",500,0.781879194630873,"seagrass",255.75,NA,0,0.37,NA,0.26,4.32,NA,0,6887.72,NA,375.31,0.03,NA,1.24
"130",1000,0.781879194630873,"seagrass",198.31,NA,0,0.3,NA,0.26,3.76,NA,0,5963.87,NA,375.31,0.05,NA,1.24
"131",6000,0.781879194630873,"seagrass",163.16,NA,0,0.26,NA,0.26,3.35,NA,0,5307.4,NA,375.31,0.08,NA,1.24
"132",10000,0.781879194630873,"seagrass",160.65,NA,0,0.26,NA,0.26,3.32,NA,0,5255.93,NA,375.31,0.08,NA,1.24
"133",22.7,0.795302013422819,"seagrass",1331.33,NA,0,1.43,NA,0.26,10.83,NA,0,18313.52,NA,381.75,0.01,NA,1.24
"134",100,0.795302013422819,"seagrass",954.3,NA,0,1.08,NA,0.26,8.87,NA,0,14795.06,NA,381.75,0.01,NA,1.24
"135",500,0.795302013422819,"seagrass",257.22,NA,0,0.37,NA,0.26,4.34,NA,0,6928.44,NA,381.75,0.03,NA,1.24
"136",1000,0.795302013422819,"seagrass",198.82,NA,0,0.31,NA,0.26,3.77,NA,0,5984.69,NA,381.75,0.05,NA,1.24
"137",6000,0.795302013422819,"seagrass",162.93,NA,0,0.27,NA,0.26,3.35,NA,0,5307.21,NA,381.75,0.09,NA,1.24
"138",10000,0.795302013422819,"seagrass",160.35,NA,0,0.26,NA,0.26,3.32,NA,0,5253.3,NA,381.75,0.09,NA,1.24
"139",22.7,0.808724832214765,"seagrass",1345.28,NA,0,1.45,NA,0.27,10.93,NA,0,18515.9,NA,388.2,0.01,NA,1.24
"140",100,0.808724832214765,"seagrass",966.25,NA,0,1.1,NA,0.27,8.96,NA,0,14971.39,NA,388.2,0.01,NA,1.24
"141",500,0.808724832214765,"seagrass",258.69,NA,0,0.38,NA,0.27,4.36,NA,0,6969.04,NA,388.2,0.03,NA,1.24
"142",1000,0.808724832214765,"seagrass",199.29,NA,0,0.31,NA,0.27,3.78,NA,0,6004.51,NA,388.2,0.05,NA,1.24
"143",6000,0.808724832214765,"seagrass",162.58,NA,0,0.27,NA,0.27,3.34,NA,0,5303.24,NA,388.2,0.09,NA,1.24
"144",10000,0.808724832214765,"seagrass",159.9,NA,0,0.27,NA,0.27,3.31,NA,0,5246.4,NA,388.2,0.1,NA,1.24
"145",22.7,0.822147651006711,"seagrass",1359.24,NA,0,1.48,NA,0.27,11.04,NA,0,18718.39,NA,394.64,0.01,NA,1.25
"146",100,0.822147651006711,"seagrass",978.25,NA,0,1.12,NA,0.27,9.06,NA,0,15148.33,NA,394.64,0.01,NA,1.25
"147",500,0.822147651006711,"seagrass",260.14,NA,0,0.39,NA,0.27,4.38,NA,0,7009.46,NA,394.64,0.03,NA,1.25
"148",1000,0.822147651006711,"seagrass",199.72,NA,0,0.32,NA,0.27,3.78,NA,0,6023.15,NA,394.64,0.06,NA,1.25
"149",6000,0.822147651006711,"seagrass",162.06,NA,0,0.28,NA,0.27,3.33,NA,0,5294.55,NA,394.64,0.1,NA,1.25
"150",10000,0.822147651006711,"seagrass",159.28,NA,0,0.27,NA,0.27,3.29,NA,0,5234.14,NA,394.64,0.11,NA,1.25
"151",22.7,0.835570469798658,"seagrass",1373.21,NA,0,1.5,NA,0.28,11.15,NA,0,18920.99,NA,401.09,0.01,NA,1.25
"152",100,0.835570469798658,"seagrass",990.29,NA,0,1.15,NA,0.28,9.15,NA,0,15325.86,NA,401.09,0.01,NA,1.25
"153",500,0.835570469798658,"seagrass",261.59,NA,0,0.39,NA,0.28,4.4,NA,0,7049.69,NA,401.09,0.03,NA,1.25
"154",1000,0.835570469798658,"seagrass",200.09,NA,0,0.32,NA,0.28,3.79,NA,0,6040.43,NA,401.09,0.06,NA,1.25
"155",6000,0.835570469798658,"seagrass",161.35,NA,0,0.28,NA,0.28,3.32,NA,0,5279.86,NA,401.09,0.11,NA,1.25
"156",10000,0.835570469798658,"seagrass",158.42,NA,0,0.28,NA,0.28,3.28,NA,0,5215,NA,401.09,0.12,NA,1.25
"157",22.7,0.848993288590604,"seagrass",1387.19,NA,0,1.53,NA,0.28,11.25,NA,0,19123.68,NA,407.53,0.01,NA,1.26
"158",100,0.848993288590604,"seagrass",1002.38,NA,0,1.17,NA,0.28,9.25,NA,0,15503.96,NA,407.53,0.01,NA,1.26
"159",500,0.848993288590604,"seagrass",263.03,NA,0,0.4,NA,0.28,4.42,NA,0,7089.67,NA,407.53,0.03,NA,1.26
"160",1000,0.848993288590604,"seagrass",200.41,NA,0,0.33,NA,0.28,3.79,NA,0,6056.12,NA,407.53,0.06,NA,1.26
"161",6000,0.848993288590604,"seagrass",160.37,NA,0,0.29,NA,0.28,3.3,NA,0,5257.38,NA,407.53,0.12,NA,1.26
"162",10000,0.848993288590604,"seagrass",157.27,NA,0,0.28,NA,0.28,3.25,NA,0,5186.8,NA,407.53,0.13,NA,1.26
"163",22.7,0.86241610738255,"seagrass",1401.17,NA,0,1.55,NA,0.28,11.36,NA,0,19326.47,NA,413.97,0.01,NA,1.26
"164",100,0.86241610738255,"seagrass",1014.51,NA,0,1.19,NA,0.28,9.34,NA,0,15682.63,NA,413.97,0.01,NA,1.26
"165",500,0.86241610738255,"seagrass",264.46,NA,0,0.41,NA,0.28,4.44,NA,0,7129.36,NA,413.97,0.04,NA,1.26
"166",1000,0.86241610738255,"seagrass",200.65,NA,0,0.33,NA,0.28,3.8,NA,0,6069.9,NA,413.97,0.07,NA,1.26
"167",6000,0.86241610738255,"seagrass",159.05,NA,0,0.29,NA,0.28,3.27,NA,0,5224.49,NA,413.97,0.13,NA,1.26
