"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"82",0,0.00108724832214765,"seagrass",118.82,NA,0,0.47,NA,0.11,1.37,NA,0,2681.41,NA,162.15,0.01,NA,0.69
"83",0.0208333333333333,0.00108724832214765,"seagrass",118.82,NA,0,0.47,NA,0.11,1.37,NA,0,2666.83,NA,161.27,0.01,NA,0.69
"84",20,0.00108724832214765,"seagrass",118.82,NA,0,0.47,NA,0.11,1.37,NA,0,429.08,NA,25.95,0.01,NA,0.69
"85",0,0.00112751677852349,"seagrass",114.6,NA,0,0.46,NA,0.11,1.33,NA,0,2616.2,NA,162.15,0.01,NA,0.69
"86",0.0208333333333333,0.00112751677852349,"seagrass",114.6,NA,0,0.46,NA,0.11,1.33,NA,0,2601.45,NA,161.24,0.01,NA,0.69
"87",20,0.00112751677852349,"seagrass",114.6,NA,0,0.46,NA,0.11,1.33,NA,0,406.01,NA,25.16,0.01,NA,0.69
"88",0,0.00116778523489933,"bistable",110.62,0.04,0,0.45,0.11,0.11,1.3,0,0,2554.42,164,162.15,0.01,0.69,0.69
"89",0.0208333333333333,0.00116778523489933,"bistable",110.62,0.04,0,0.45,0.11,0.11,1.3,0,0,2539.51,163.05,161.2,0.01,0.69,0.69
"90",20,0.00116778523489933,"bistable",110.62,0.04,0,0.45,0.11,0.11,1.3,0,0,384.81,24.71,24.43,0.01,0.69,0.69
"91",0,0.00120805369127517,"bistable",106.89,0.26,0,0.44,0.11,0.11,1.26,0.01,0,2495.81,174.11,162.15,0.01,0.69,0.69
"92",0.0208333333333333,0.00120805369127517,"bistable",106.89,0.26,0,0.44,0.11,0.11,1.26,0.01,0,2480.73,173.06,161.17,0.01,0.69,0.69
"93",20,0.00120805369127517,"bistable",106.89,0.26,0,0.44,0.11,0.11,1.26,0.01,0,365.29,25.48,23.73,0.01,0.69,0.69
"94",0,0.00124832214765101,"bistable",103.37,0.49,0,0.44,0.11,0.11,1.23,0.01,0,2440.11,184.33,162.15,0.01,0.68,0.69
"95",0.0208333333333333,0.00124832214765101,"bistable",103.37,0.49,0,0.44,0.11,0.11,1.23,0.01,0,2424.89,183.18,161.14,0.01,0.68,0.69
