"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"59",22.7,0.00116778523489933,"bistable",110.62,0.04,0,0.45,0.11,0.11,1.3,0,0,2539.51,163.05,161.2,0.01,0.69,0.69
"60",1e+06,0.00116778523489933,"seagrass",413.05,NA,0,0.11,NA,0.11,10.64,NA,0,15912.5,NA,161.2,0.72,NA,7.72
"61",22.7,0.00120805369127517,"bistable",106.89,0.26,0,0.44,0.11,0.11,1.26,0.01,0,2480.73,173.06,161.17,0.01,0.69,0.69
"62",1e+06,0.00120805369127517,"seagrass",390.92,NA,0,0.11,NA,0.11,10.08,NA,0,15062.2,NA,161.17,1.01,NA,7.72
"63",22.7,0.00124832214765101,"bistable",103.37,0.49,0,0.44,0.11,0.11,1.23,0.01,0,2424.89,183.18,161.14,0.01,0.68,0.69
"64",1e+06,0.00124832214765101,"seagrass",346.81,NA,0,0.11,NA,0.11,8.96,NA,0,13372.88,NA,161.14,1.69,NA,7.72
"65",22.7,0.00128859060402685,"bistable",100.05,0.73,0,0.43,0.11,0.11,1.2,0.02,0,2371.75,193.4,161.11,0.02,0.68,0.69
"66",1e+06,0.00128859060402685,"seagrass",139.02,NA,0,0.11,NA,0.11,3.62,NA,0,5445.3,NA,161.11,5.27,NA,7.72
"67",22.7,0.00132885906040268,"bistable",96.91,0.96,0,0.42,0.12,0.11,1.17,0.02,0,2321.12,203.74,161.07,0.02,0.68,0.69
"68",1e+06,0.00132885906040268,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,161.07,NA,NA,7.72
"69",22.7,0.00136912751677852,"bistable",93.94,1.21,0,0.42,0.12,0.11,1.15,0.03,0,2272.81,214.19,161.04,0.02,0.67,0.69
