"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"62",1e+06,1.40604026845638,"bare",NA,NA,0,NA,NA,0.31,NA,NA,0,NA,NA,456.05,NA,NA,7.91
"63",22.7,1.43624161073825,"bistable",1679.4,3.4,0,2.53,0.37,0.32,13.62,0.08,0,24339.8,655.73,465.85,0.01,0.89,0.88
"64",1e+06,1.43624161073825,"bare",NA,NA,0,NA,NA,0.32,NA,NA,0,NA,NA,465.85,NA,NA,7.91
"65",22.7,1.46644295302013,"bistable",1711.38,3.81,0,2.59,0.38,0.33,13.87,0.09,0,24803.84,688.58,475.65,0.01,0.9,0.89
"66",1e+06,1.46644295302013,"bare",NA,NA,0,NA,NA,0.33,NA,NA,0,NA,NA,475.65,NA,NA,7.92
"67",22.7,1.49664429530201,"bistable",1743.38,4.23,0,2.64,0.39,0.33,14.11,0.1,0,25268.12,722.17,485.44,0.01,0.91,0.89
"68",1e+06,1.49664429530201,"bare",NA,NA,0,NA,NA,0.33,NA,NA,0,NA,NA,485.44,NA,NA,7.93
"69",22.7,1.52684563758389,"bistable",1775.39,4.66,0,2.7,0.41,0.34,14.35,0.11,0,25732.63,756.52,495.24,0.01,0.92,0.9
"70",1e+06,1.52684563758389,"bare",NA,NA,0,NA,NA,0.34,NA,NA,0,NA,NA,495.24,NA,NA,7.93
"71",22.7,1.55704697986577,"bistable",1807.42,5.1,0,2.76,0.42,0.35,14.59,0.12,0,26197.36,791.66,505.04,0.01,0.93,0.9
"72",1e+06,1.55704697986577,"bare",NA,NA,0,NA,NA,0.35,NA,NA,0,NA,NA,505.04,NA,NA,7.94
"73",22.7,1.58724832214765,"bistable",1839.46,5.56,0,2.81,0.44,0.35,14.83,0.13,0,26662.29,827.61,514.84,0.01,0.94,0.91
"74",1e+06,1.58724832214765,"bare",NA,NA,0,NA,NA,0.35,NA,NA,0,NA,NA,514.84,NA,NA,7.94
"75",22.7,1.61744966442953,"bistable",1871.51,6.03,0,2.87,0.45,0.36,15.07,0.14,0,27127.42,864.39,524.64,0.01,0.95,0.92
"76",1e+06,1.61744966442953,"bare",NA,NA,0,NA,NA,0.36,NA,NA,0,NA,NA,524.64,NA,NA,7.95
"77",22.7,1.64765100671141,"bistable",1903.57,6.52,0,2.92,0.47,0.37,15.31,0.15,0,27592.74,902.05,534.44,0.01,0.96,0.92
"78",1e+06,1.64765100671141,"bare",NA,NA,0,NA,NA,0.37,NA,NA,0,NA,NA,534.44,NA,NA,7.96
"79",22.7,1.67785234899329,"bistable",1935.64,7.02,0,2.98,0.49,0.37,15.55,0.16,0,28058.23,940.61,544.24,0.01,0.97,0.93
"80",1e+06,1.67785234899329,"bare",NA,NA,0,NA,NA,0.37,NA,NA,0,NA,NA,544.24,NA,NA,7.96
